0.786,0.214
0.644,0.356
0.679,0.321
0.743,0.257
0.615,0.385
0.773,0.227
0.701,0.299
0.735,0.265
0.763,0.237
0.671,0.329
0.696,0.304
0.756,0.244
0.725,0.275
0.714,0.286
0.656,0.344
0.690,0.310
0.680,0.320
0.743,0.257
0.685,0.315
0.639,0.361
0.738,0.262
0.730,0.270
0.728,0.272
0.783,0.217
0.797,0.203
0.639,0.361
0.796,0.204
0.667,0.333
0.688,0.312
0.790,0.210
0.756,0.244
0.733,0.267
0.669,0.331
0.698,0.302
0.766,0.234
0.749,0.251
0.724,0.276
0.733,0.267
0.682,0.318
0.643,0.357
0.604,0.396
0.635,0.365
0.725,0.275
0.647,0.353
0.771,0.229
0.638,0.362
0.598,0.402
0.733,0.267
0.702,0.298
0.759,0.241
0.765,0.235
0.652,0.348
0.734,0.266
0.738,0.262
0.532,0.468
0.698,0.302
0.706,0.294
0.787,0.213
0.574,0.426
0.692,0.308
0.754,0.246
0.817,0.183
0.698,0.302
0.736,0.264
0.647,0.353
0.751,0.249
0.707,0.293
0.718,0.282
0.783,0.217
0.716,0.284
0.682,0.318
0.833,0.167
0.706,0.294
0.653,0.347
0.800,0.200
0.743,0.257
0.776,0.224
0.704,0.296
0.655,0.345
0.709,0.291
0.614,0.386
0.716,0.284
0.741,0.259
0.673,0.327
0.746,0.254
0.593,0.407
0.704,0.296
0.628,0.372
0.696,0.304
0.730,0.270
0.732,0.268
0.733,0.267
0.651,0.349
0.681,0.319
0.643,0.357
0.683,0.317
0.817,0.183
0.697,0.303
0.698,0.302
0.711,0.289
0.692,0.308
0.771,0.229
0.626,0.374
0.705,0.295
0.680,0.320
0.735,0.265
0.703,0.297
0.693,0.307
0.648,0.352
0.625,0.375
0.655,0.345
0.677,0.323
0.734,0.266
0.686,0.314
0.675,0.325
0.675,0.325
0.643,0.357
0.694,0.306
0.657,0.343
0.683,0.317
0.685,0.315
0.613,0.387
0.707,0.293
0.744,0.256
0.665,0.335
0.787,0.213
0.720,0.280
0.712,0.288
0.753,0.247
0.699,0.301
0.652,0.348
0.709,0.291
0.718,0.282
0.711,0.289
0.752,0.248
0.748,0.252
0.707,0.293
0.760,0.240
0.624,0.376
0.728,0.272
0.694,0.306
0.739,0.261
0.713,0.287
0.677,0.323
0.688,0.312
0.609,0.391
0.684,0.316
0.687,0.313
0.769,0.231
0.748,0.252
0.685,0.315
0.667,0.333
0.683,0.317
0.744,0.256
0.751,0.249
0.663,0.337
0.653,0.347
0.677,0.323
0.717,0.283
0.695,0.305
0.730,0.270
0.709,0.291
0.676,0.324
0.626,0.374
0.646,0.354
0.698,0.302
0.692,0.308
0.642,0.358
0.699,0.301
0.696,0.304
0.707,0.293
0.737,0.263
0.677,0.323
0.653,0.347
0.760,0.240
0.749,0.251
0.713,0.287
0.670,0.330
0.626,0.374
0.708,0.292
0.676,0.324
0.648,0.352
0.686,0.314
0.683,0.317
0.753,0.247
0.757,0.243
0.645,0.355
0.775,0.225
0.641,0.359
0.699,0.301
0.781,0.219
0.751,0.249
0.693,0.307
0.672,0.328
0.687,0.313
0.750,0.250
0.665,0.335
0.693,0.307
0.680,0.320
0.734,0.266
0.756,0.244
0.739,0.261
0.692,0.308
0.694,0.306
0.690,0.310
0.627,0.373
0.766,0.234
0.656,0.344
0.773,0.227
0.687,0.313
0.723,0.277
0.756,0.244
0.662,0.338
0.715,0.285
0.741,0.259
0.610,0.390
0.633,0.367
0.648,0.352
0.716,0.284
0.721,0.279
0.714,0.286
0.726,0.274
0.609,0.391
0.739,0.261
0.717,0.283
0.649,0.351
0.735,0.265
0.709,0.291
0.660,0.340
0.731,0.269
0.691,0.309
0.666,0.334
0.689,0.311
0.665,0.335
0.683,0.317
0.721,0.279
0.649,0.351
0.682,0.318
0.729,0.271
0.680,0.320
0.721,0.279
0.657,0.343
0.759,0.241
0.725,0.275
0.736,0.264
0.705,0.295
0.718,0.282
0.682,0.318
0.717,0.283
0.697,0.303
0.726,0.274
0.705,0.295
0.705,0.295
0.709,0.291
0.726,0.274
0.715,0.285
0.625,0.375
0.685,0.315
0.597,0.403
0.667,0.333
0.744,0.256
0.678,0.322
0.612,0.388
0.733,0.267
0.732,0.268
0.652,0.348
0.738,0.262
0.667,0.333
0.709,0.291
0.671,0.329
0.711,0.289
0.702,0.298
0.709,0.291
0.706,0.294
0.718,0.282
0.734,0.266
0.703,0.297
0.721,0.279
0.722,0.278
0.770,0.230
0.727,0.273
0.709,0.291
0.668,0.332
0.726,0.274
0.718,0.282
0.717,0.283
0.727,0.273
0.695,0.305
0.712,0.288
0.711,0.289
0.730,0.270
0.697,0.303
0.694,0.306
0.759,0.241
0.737,0.263
0.725,0.275
0.712,0.288
0.745,0.255
0.674,0.326
0.672,0.328
0.655,0.345
0.701,0.299
0.692,0.308
0.722,0.278
0.710,0.290
0.680,0.320
0.692,0.308
0.689,0.311
0.702,0.298
0.753,0.247
0.705,0.295
0.712,0.288
0.725,0.275
0.696,0.304
0.695,0.305
0.703,0.297
0.695,0.305
0.705,0.295
0.685,0.315
0.723,0.277
0.714,0.286
0.690,0.310
0.704,0.296
0.666,0.334
0.671,0.329
0.699,0.301
0.696,0.304
0.695,0.305
0.713,0.287
0.665,0.335
0.723,0.277
0.701,0.299
0.724,0.276
0.702,0.298
0.693,0.307
0.696,0.304
0.709,0.291
0.737,0.263
0.684,0.316
0.716,0.284
0.752,0.248
0.661,0.339
0.685,0.315
0.689,0.311
0.703,0.297
0.725,0.275
0.732,0.268
0.689,0.311
0.731,0.269
0.673,0.327
0.695,0.305
0.716,0.284
0.709,0.291
0.735,0.265
0.713,0.287
0.676,0.324
0.658,0.342
0.682,0.318
0.700,0.300
0.685,0.315
0.739,0.261
0.722,0.278
0.734,0.266
0.680,0.320
0.677,0.323
0.721,0.279
0.712,0.288
0.697,0.303
0.701,0.299
0.748,0.252
0.637,0.363
0.728,0.272
0.683,0.317
0.707,0.293
0.711,0.289
0.699,0.301
0.672,0.328
0.765,0.235
0.701,0.299
0.714,0.286
0.694,0.306
0.752,0.248
0.703,0.297
0.645,0.355
0.701,0.299
0.705,0.295
0.682,0.318
0.724,0.276
0.689,0.311
0.695,0.305
0.714,0.286
0.686,0.314
0.731,0.269
0.681,0.319
0.704,0.296
0.705,0.295
0.736,0.264
0.669,0.331
0.722,0.278
0.714,0.286
0.699,0.301
0.729,0.271
0.722,0.278
0.704,0.296
0.746,0.254
0.710,0.290
0.692,0.308
0.769,0.231
0.699,0.301
0.700,0.300
0.698,0.302
0.681,0.319
0.690,0.310
0.688,0.312
0.719,0.281
0.675,0.325
0.663,0.337
0.758,0.242
0.680,0.320
0.735,0.265
0.685,0.315
0.666,0.334
0.711,0.289
0.679,0.321
0.728,0.272
0.662,0.338
0.683,0.317
0.722,0.278
0.678,0.322
0.662,0.338
0.727,0.273
0.705,0.295
0.720,0.280
0.674,0.326
0.727,0.273
0.699,0.301
0.702,0.298
0.742,0.258
0.698,0.302
0.683,0.317
0.687,0.313
0.696,0.304
0.700,0.300
0.710,0.290
0.716,0.284
0.696,0.304
0.645,0.355
0.689,0.311
0.743,0.257
0.701,0.299
0.666,0.334
0.699,0.301
0.702,0.298
0.662,0.338
0.722,0.278
0.699,0.301
0.676,0.324
0.713,0.287
0.721,0.279
0.689,0.311
0.722,0.278
0.676,0.324
0.708,0.292
0.738,0.262
0.689,0.311
0.699,0.301
0.713,0.287
0.615,0.385
0.722,0.278
0.710,0.290
0.735,0.265
0.688,0.312
0.684,0.316
0.650,0.350
0.715,0.285
0.763,0.237
0.693,0.307
0.755,0.245
0.661,0.339
0.709,0.291
0.698,0.302
0.715,0.285
0.706,0.294
0.695,0.305
0.700,0.300
0.737,0.263
